# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: flux_ratio, unit: '', datatype: float64}
# schema: astropy-2.0
#
#
#
# Authors: Vernot O. and Parmentier V.
# Detail: WASP43b night side flux (Extrapolated at 0 under 5um)
# Article: Private communication
wavelength flux_ratio
 3.000000 0.000000
 3.021303 0.000000
 3.103775 0.000000
 3.183545 0.000000
 3.253776 0.000000
 3.320889 0.000000
 3.393639 0.000000
 3.458688 0.000000
 3.522176 0.000000
 3.585811 0.000000
 3.644900 0.000000
 3.701666 0.000000
 3.760544 0.000000
 3.817611 0.000000
 3.873858 0.000000
 3.927473 0.000000
 3.979182 0.000000
 4.021303 0.000000
 4.103775 0.000000
 4.183545 0.000000
 4.253776 0.000000
 4.320889 0.000000
 4.393639 0.000000
 4.458688 0.000000
 4.522176 0.000000
 4.585811	 0.000000
 4.644900 0.000000
 4.701666 0.000000
 4.760544 0.000000
 4.817611 0.000000
 4.873858 0.000000
 4.927473 0.000000
 4.979182 0.000000
 5.021303 0.001692
 5.103775 0.001737
 5.183545 0.001765
 5.253776 0.001772
 5.320889 0.001760
 5.393639 0.001743
 5.458688 0.001731
 5.522176 0.001718
 5.585811 0.001707
 5.644900 0.001701
 5.701666 0.001694
 5.760544 0.001688
 5.817611 0.001686
 5.873858 0.001685
 5.927473 0.001718
 5.979182 0.001780
 6.029692 0.001840
 6.078389 0.001890
 6.128160 0.001922
 6.180708 0.001956
 6.228396 0.001987
 6.275501 0.002018
 6.321787 0.001996
 6.367367 0.001928
 6.412512 0.001861
 6.457812 0.001793
 6.502190 0.001727
 6.544354 0.001718
 6.584503 0.001731
 6.627099 0.001746
 6.672312 0.001764
 6.713929 0.001794
 6.756062 0.001824
 6.797490 0.001854
 6.837249 0.001883
 6.875407 0.001908
 6.914830 0.001909
 6.954024 0.001909
 6.992802 0.001909
 7.031603 0.001910
 7.070802 0.001910
 7.108897 0.001902
 7.146094 0.001883
 7.183129 0.001864
 7.220349 0.001845
 7.258703 0.001825
 7.295745 0.001817
 7.331557 0.001832
 7.365302 0.001845
 7.400580 0.001860
 7.436593 0.001875
 7.472650 0.001889
 7.507838 0.001900
 7.542999 0.001900
 7.577756 0.001900
 7.612019 0.001901
 7.645928 0.001901
 7.679681 0.001901
 7.713267 0.001901
 7.746757 0.001929
 7.780016 0.001957
 7.813016 0.001985
 7.845931 0.002013
 7.878627 0.002040
 7.911062 0.002070
 7.943838 0.002105
 7.976141 0.002140
 8.008033 0.002174
 8.039730 0.002208
 8.071246 0.002242
 8.102587 0.002266
 8.133713 0.002289
 8.164605 0.002312
 8.195423 0.002334
 8.226099 0.002357
 8.257097 0.002379
 8.287500 0.002401
 8.317665 0.002424
 8.347964 0.002447
 8.377852 0.002488
 8.407549 0.002528
 8.437146 0.002568
 8.466602 0.002608
 8.495831 0.002647
 8.524930 0.002687
 8.554277 0.002726
 8.583086 0.002765
 8.611716 0.002804
 8.639735 0.002842
 8.667935 0.002880
 8.696114 0.002919
 8.724623 0.002960
 8.753602 0.003001
 8.781527 0.003040
 8.809163 0.003079
 8.836594 0.003118
 8.863889 0.003156
 8.891110 0.003195
 8.918187 0.003233
 8.945084 0.003271
 8.971869 0.003309
 8.998574 0.003346
 9.025198 0.003378
 9.051806 0.003410
 9.078123 0.003442
 9.104366 0.003474
 9.130834 0.003506
 9.157437 0.003538
 9.183255 0.003569
 9.208953 0.003600
 9.233679 0.003630
 9.258178 0.003659
 9.283483 0.003690
 9.308802 0.003721
 9.334312 0.003751
 9.359913 0.003783
 9.384799 0.003814
 9.409598 0.003844
 9.434429 0.003875
 9.459077 0.003906
 9.483528 0.003936
 9.507922 0.003967
 9.532992 0.003998
 9.557728 0.004029
 9.581753 0.004058
 9.605669 0.004088
 9.629101 0.004117
 9.652279 0.004142
 9.675830 0.004150
 9.699352 0.004157
 9.722554 0.004165
 9.745596 0.004173
 9.768829 0.004180
 9.791972 0.004188
 9.815203 0.004195
 9.838924 0.004203
 9.861854 0.004210
 9.884626 0.004218
 9.907316 0.004225
 9.929967 0.004233
 9.952524 0.004240
 9.974951 0.004247
 9.997289 0.004255
10.019624 0.004262
10.042190 0.004269
10.064322 0.004276
10.086330 0.004284
10.108173 0.004284
10.129657 0.004283
10.151239 0.004281
10.172970 0.004280
10.194556 0.004278
10.216250 0.004277
10.238155 0.004275
10.259599 0.004274
10.280870 0.004273
10.302166 0.004271
10.323488 0.004270
10.344745 0.004268
10.365837 0.004267
10.386759 0.004265
10.407658 0.004264
10.428639 0.004263
10.449459 0.004261
10.470112 0.004260
10.490799 0.004259
10.511322 0.004257
10.531733 0.004256
10.552131 0.004254
10.572562 0.004253
10.592842 0.004252
10.613146 0.004250
10.633399 0.004249
10.653593 0.004248
10.673647 0.004246
10.693706 0.004246
10.713958 0.004256
10.734470 0.004267
10.754510 0.004277
10.774324 0.004287
10.794026 0.004297
10.813708 0.004306
10.832110 0.004316
10.851517 0.004325
10.871045 0.004335
10.890531 0.004345
10.910456 0.004355
10.930386 0.004365
10.949920 0.004375
10.969188 0.004385
10.988410 0.004394
11.007669 0.004404
11.026985 0.004414
11.046096 0.004424
11.065168 0.004433
11.084139 0.004443
11.103124 0.004452
11.121669 0.004462
11.140372 0.004471
11.159131 0.004480
11.177926 0.004490
11.196702 0.004499
11.215757 0.004509
11.234627 0.004518
11.253209 0.004528
11.271781 0.004537
11.290277 0.004547
11.308835 0.004546
11.327418 0.004546
11.345812 0.004545
11.364146 0.004544
11.382451 0.004543
11.400717 0.004542
11.418778 0.004541
11.436927 0.004541
11.455031 0.004540
11.473166 0.004539
11.491204 0.004538
11.509257 0.004537
11.527257 0.004536
11.545206 0.004535
11.563152 0.004535
11.581005 0.004534
11.598957 0.004533
11.617088 0.004532
