# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: data, unit: '', datatype: float64}
# schema: astropy-2.0
#
#
#
# Article: Green et al. 2016, ApJ
# Table: Data for Figure 2
# Detail : Modified to match with WASP43b radius
wavelength data
1.0 0.024405899
1.01 0.0243091
1.0201 0.02426943
1.0303 0.024156762
1.0406 0.024110744
1.051 0.024067897
1.0615 0.02408218
1.0721 0.024128199
1.0829 0.024123438
1.0937 0.024412246
1.1046 0.024632819
1.1157 0.024615364
1.1268 0.024615364
1.1381 0.024697881
1.1495 0.02466773
1.161 0.0245868
1.1726 0.024710575
1.1843 0.02459791
1.1962 0.024553478
1.2081 0.024426527
1.2202 0.024380509
1.2324 0.024286885
1.2447 0.024152001
1.2572 0.02422341
1.2697 0.024290059
1.2824 0.024215477
1.2953 0.024397966
1.3082 0.024372576
1.3213 0.024507457
1.3345 0.024845459
1.3478 0.025053337
1.3613 0.025134267
1.3749 0.025075553
1.3887 0.025073966
1.4026 0.025059685
1.4166 0.025202502
1.4308 0.025202502
1.4451 0.02513268
1.4595 0.02510729
1.4741 0.024981929
1.4889 0.024947017
1.5037 0.025010493
1.5188 0.024851806
1.534 0.024837526
1.5493 0.024832765
1.5648 0.024680426
1.5805 0.024539195
1.5963 0.024490003
1.6122 0.024502698
1.6283 0.024366228
1.6446 0.02439003
1.6611 0.024328142
1.6777 0.024437636
1.6945 0.02438527
1.7114 0.024474135
1.7285 0.024661383
1.7458 0.024648689
1.7633 0.024840698
1.7809 0.024918454
1.7987 0.025054924
1.8167 0.024969235
1.8349 0.0251184
1.8532 0.025135854
1.8717 0.02517394
1.8905 0.02501684
1.9094 0.024823243
1.9285 0.025024774
1.9477 0.025059685
1.9672 0.025096184
1.9869 0.025091423
2.0068 0.025069207
2.0268 0.024997797
2.0471 0.024916869
2.0676 0.024780398
2.0882 0.024639167
2.1091 0.02469312
2.1302 0.0245868
2.1515 0.02459791
2.173 0.024623299
2.1948 0.02461219
2.2167 0.02466773
2.2389 0.024623299
2.2613 0.024537608
2.2839 0.024639167
2.3067 0.024691533
2.3298 0.024601083
2.3531 0.024740726
2.3766 0.024716923
2.4004 0.024828004
2.4244 0.025129506
2.4486 0.024896238
2.4731 0.025235826
2.4979 0.025196156
2.5 0.025146963
2.525 0.025326278
2.5503 0.025286606
2.5758 0.025483377
2.6015 0.025326278
2.6275 0.02546592
2.6538 0.025362775
2.6803 0.025280258
2.7071 0.025146963
2.7342 0.025297714
2.7616 0.025280258
2.7892 0.025700776
2.8171 0.025448466
2.8452 0.025565892
2.8737 0.025353255
2.9024 0.025519874
2.9314 0.025494484
2.9608 0.025402447
2.9904 0.025378644
3.0203 0.02530565
3.0505 0.025251696
3.081 0.025196156
3.1118 0.025031121
3.1429 0.025150137
3.1743 0.025140615
3.2061 0.024973994
3.2381 0.025204089
3.2705 0.02495654
3.3032 0.024932737
3.3363 0.02501684
3.3696 0.024867674
3.4033 0.02500097
3.4373 0.024643928
3.4717 0.024907347
3.5064 0.02469312
3.5415 0.024916869
3.5769 0.024726445
3.6127 0.024562998
3.6488 0.024620125
3.6853 0.024502698
3.7222 0.024536021
3.7594 0.024593148
3.797 0.024428114
3.8349 0.0245868
3.8733 0.024432875
3.912 0.02448048
3.9512 0.02457252
3.9907 0.024437636
4.0306 0.024434462
4.0709 0.024542369
4.1116 0.024647102
4.1527 0.024605844
4.1942 0.024808962
4.2362 0.024874022
4.2785 0.025316756
4.3213 0.025204089
4.3645 0.02523424
4.4082 0.025364362
4.4523 0.025300888
4.4968 0.025246935
4.5417 0.025100943
4.5872 0.025115225
4.633 0.025121573
4.6794 0.025246935
4.7261 0.025129506
4.7734 0.02509301
4.8212 0.025197743
4.8694 0.025080314
4.9181 0.02520885
4.9672 0.025185047
5.0 0.025119986
5.125 0.025119986
5.2442 0.024966061
5.3585 0.025218371
5.4688 0.024951778
5.5755 0.025270738
5.6791 0.025272325
5.78 0.025326278
5.8784 0.02521361
5.9746 0.025338972
6.0689 0.025239
6.1613 0.025146963
6.2521 0.024907347
6.3414 0.025027948
6.4292 0.02535008
6.5157 0.025126332
6.601 0.025348494
6.6852 0.025145376
6.7683 0.025253283
6.8504 0.025250109
6.9316 0.02518822
7.0118 0.025178699
7.0913 0.025499245
7.1699 0.025302475
7.2478 0.025242174
7.3249 0.025270738
7.4014 0.02543577
7.4772 0.024975581
7.5524 0.025267564
7.6279 0.025085075
7.7042 0.02495654
7.7812 0.025137441
7.859 0.025161244
7.9376 0.025059685
8.017 0.025423076
8.0971 0.025169179
8.1781 0.025258042
8.2599 0.025105704
8.3425 0.025326278
8.4259 0.025086662
8.5102 0.025002558
8.5953 0.025070794
8.6812 0.025113638
8.7681 0.025096184
8.8557 0.02490576
8.9443 0.024631234
9.0337 0.024959713
9.1241 0.024997797
9.2153 0.024866087
9.3075 0.024651863
9.4005 0.025154896
9.4946 0.024913695
9.5895 0.025029534
9.6854 0.024770876
9.7822 0.024705816
9.8801 0.024883544
9.9789 0.02457728
10.0786 0.024828004
10.1794 0.02473438
10.2812 0.024728032
10.3841 0.024985103
10.4879 0.024585214
10.5928 0.025113638
10.6987 0.024831178
10.8057 0.024731206
10.9137 0.024978755
11.0229 0.025140615
