# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: flux_ratio, unit: '', datatype: float64}
# schema: astropy-2.0
#
#
#
# Authors: Vernot O. and Parmentier V.
# Detail: WASP43b day side flux (Extrapolated at 0 under 5um)
# Article: Private communication
wavelength flux_ratio
 3.000000 0.000000
 3.021303 0.000000
 3.103775 0.000000
 3.183545 0.000000
 3.253776 0.000000
 3.320889 0.000000
 3.393639 0.000000
 3.458688 0.000000
 3.522176 0.000000
 3.585811 0.000000
 3.644900 0.000000
 3.701666 0.000000
 3.760544 0.000000
 3.817611 0.000000
 3.873858 0.000000
 3.927473 0.000000
 3.979182 0.000000
 4.021303 0.000000
 4.103775 0.000000
 4.183545 0.000000
 4.253776 0.000000
 4.320889 0.000000
 4.393639 0.000000
 4.458688 0.000000
 4.522176 0.000000
 4.585811	 0.000000
 4.644900 0.000000
 4.701666 0.000000
 4.760544 0.000000
 4.817611 0.000000
 4.873858 0.000000
 4.927473 0.000000
 4.979182 0.000000
 5.021303 0.004727
 5.103775 0.004803
 5.183545 0.004851
 5.253776 0.004863
 5.320889 0.004879
 5.393639 0.004897
 5.458688 0.004916
 5.522176 0.004934
 5.585811 0.004951
 5.644900 0.004964
 5.701666 0.004976
 5.760544 0.004989
 5.817611 0.005012
 5.873858 0.005035
 5.927473 0.005088
 5.979182 0.005166
 6.029692 0.005242
 6.078389 0.005306
 6.128160 0.005352
 6.180708 0.005400
 6.228396 0.005443
 6.275501 0.005486
 6.321787 0.005466
 6.367367 0.005392
 6.412512 0.005318
 6.457812 0.005244
 6.502190 0.005171
 6.544354 0.005132
 6.584503 0.005108
 6.627099 0.005082
 6.672312 0.005069
 6.713929 0.005110
 6.756062 0.005152
 6.797490 0.005194
 6.837249 0.005233
 6.875407 0.005271
 6.914830 0.005304
 6.954024 0.005338
 6.992802 0.005371
 7.031603 0.005403
 7.070802 0.005437
 7.108897 0.005467
 7.146094 0.005495
 7.183129 0.005522
 7.220349 0.005550
 7.258703 0.005578
 7.295745 0.005605
 7.331557 0.005631
 7.365302 0.005656
 7.400580 0.005681
 7.436593 0.005707
 7.472650 0.005733
 7.507838 0.005758
 7.542999 0.005783
 7.577756 0.005807
 7.612019 0.005830
 7.645928 0.005854
 7.679681 0.005877
 7.713267 0.005900
 7.746757 0.005913
 7.780016 0.005926
 7.813016 0.005939
 7.845931 0.005951
 7.878627 0.005964
 7.911062 0.005979
 7.943838 0.006002
 7.976141 0.006026
 8.008033 0.006049
 8.039730 0.006071
 8.071246 0.006094
 8.102587 0.006109
 8.133713 0.006124
 8.164605 0.006138
 8.195423 0.006153
 8.226099 0.006167
 8.257097 0.006182
 8.287500 0.006196
 8.317665 0.006210
 8.347964 0.006226
 8.377852 0.006254
 8.407549 0.006283
 8.437146 0.006311
 8.466602 0.006340
 8.495831 0.006368
 8.524930 0.006396
 8.554277 0.006424
 8.583086 0.006452
 8.611716 0.006479
 8.639735 0.006506
 8.667935 0.006534
 8.696114 0.006561
 8.724623 0.006588
 8.753602 0.006616
 8.781527 0.006642
 8.809163 0.006669
 8.836594 0.006695
 8.863889 0.006721
 8.891110 0.006747
 8.918187 0.006773
 8.945084 0.006799
 8.971869 0.006824
 8.998574 0.006850
 9.025198 0.006871
 9.051806 0.006892
 9.078123 0.006913
 9.104366 0.006935
 9.130834 0.006956
 9.157437 0.006977
 9.183255 0.006998
 9.208953 0.007019
 9.233679 0.007039
 9.258178 0.007058
 9.283483 0.007079
 9.308802 0.007099
 9.334312 0.007119
 9.359913 0.007140
 9.384799 0.007161
 9.409598 0.007182
 9.434429 0.007202
 9.459077 0.007223
 9.483528 0.007243
 9.507922 0.007263
 9.532992 0.007284
 9.557728 0.007304
 9.581753 0.007324
 9.605669 0.007344
 9.629101 0.007364
 9.652279 0.007381
 9.675830 0.007389
 9.699352 0.007397
 9.722554 0.007405
 9.745596 0.007413
 9.768829 0.007421
 9.791972 0.007429
 9.815203 0.007437
 9.838924 0.007445
 9.861854 0.007453
 9.884626 0.007460
 9.907316 0.007468
 9.929967 0.007476
 9.952524 0.007484
 9.974951 0.007491
 9.997289 0.007499
10.019624 0.007507
10.042190 0.007514
10.064322 0.007522
10.086330 0.007530
10.108173 0.007535
10.129657 0.007540
10.151239 0.007545
10.172970 0.007550
10.194556 0.007554
10.216250 0.007559
10.238155 0.007564
10.259599 0.007569
10.280870 0.007574
10.302166 0.007579
10.323488 0.007583
10.344745 0.007588
10.365837 0.007593
10.386759 0.007598
10.407658 0.007602
10.428639 0.007607
10.449459 0.007612
10.470112 0.007616
10.490799 0.007621
10.511322 0.007626
10.531733 0.007630
10.552131 0.007635
10.572562 0.007639
10.592842 0.007644
10.613146 0.007649
10.633399 0.007653
10.653593 0.007658
10.673647 0.007662
10.693706 0.007667
10.713958 0.007670
10.734470 0.007673
10.754510 0.007676
10.774324 0.007679
10.794026 0.007682
10.813708 0.007685
10.832110 0.007687
10.851517 0.007690
10.871045 0.007693
10.890531 0.007696
10.910456 0.007699
10.930386 0.007702
10.949920 0.007705
10.969188 0.007708
10.988410 0.007711
11.007669 0.007713
11.026985 0.007716
11.046096 0.007719
11.065168 0.007722
11.084139 0.007725
11.103124 0.007728
11.121669 0.007731
11.140372 0.007733
11.159131 0.007736
11.177926 0.007739
11.196702 0.007742
11.215757 0.007745
11.234627 0.007747
11.253209 0.007750
11.271781 0.007753
11.290277 0.007756
11.308835 0.007757
11.327418 0.007758
11.345812 0.007759
11.364146 0.007760
11.382451 0.007761
11.400717 0.007762
11.418778 0.007763
11.436927 0.007764
11.455031 0.007765
11.473166 0.007766
11.491204 0.007767
11.509257 0.007768
11.527257 0.007769
11.545206 0.007770
11.563152 0.007771
11.581005 0.007772
11.598957 0.007773
11.617088 0.007774
