# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64, format: .5f}
# - {name: flux_ratio, datatype: float64, format: .3e}
# meta: !!omap
# - __serialized_columns__:
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       __info__: {format: .5f}
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux_ratio
50.00168 2.232e-02
49.99835 2.261e-02
49.99502 2.268e-02
49.99168 2.246e-02
49.98835 2.252e-02
49.98502 2.260e-02
49.98169 2.269e-02
49.97836 2.280e-02
49.97502 2.295e-02
49.97169 2.312e-02
49.96836 2.335e-02
49.96503 2.496e-02
49.96170 2.532e-02
49.95837 2.527e-02
49.95504 2.362e-02
49.95171 2.323e-02
49.94838 2.302e-02
49.94505 2.287e-02
49.94172 2.275e-02
49.93839 2.265e-02
49.93506 2.256e-02
49.93173 2.249e-02
49.92840 2.243e-02
49.92507 2.237e-02
49.92175 2.232e-02
49.91842 2.228e-02
49.91509 2.224e-02
49.91176 2.221e-02
49.90844 2.217e-02
49.90511 2.214e-02
49.90178 2.212e-02
49.89846 2.209e-02
49.89513 2.207e-02
49.89180 2.205e-02
49.88848 2.203e-02
49.88515 2.201e-02
49.88183 2.199e-02
49.87850 2.198e-02
49.87518 2.196e-02
49.87185 2.195e-02
49.86853 2.194e-02
49.86520 2.193e-02
49.86188 2.191e-02
49.85855 2.190e-02
49.85523 2.189e-02
49.85191 2.189e-02
49.84858 2.188e-02
49.84526 2.187e-02
49.84194 2.186e-02
49.83862 2.185e-02
49.83529 2.185e-02
49.83197 2.184e-02
49.82865 2.184e-02
49.82533 2.183e-02
49.82201 2.182e-02
49.81869 2.182e-02
49.81536 2.182e-02
49.81204 2.181e-02
49.80872 2.181e-02
49.80540 2.180e-02
49.80208 2.180e-02
49.79876 2.179e-02
49.79544 2.179e-02
49.79212 2.179e-02
49.78880 2.178e-02
49.78548 2.178e-02
49.78217 2.178e-02
49.77885 2.178e-02
49.77553 2.177e-02
49.77221 2.177e-02
49.76889 2.177e-02
49.76558 2.177e-02
49.76226 2.176e-02
